ColunaA ColunaB ColunaC ColunaD
175	130	68	167
125	187	120	15
175	200	44	155
107	153	61	158
94	12	39	45
52	24	189	129
113	75	134	176
70	115	6	73
3	74	2	14
4	11	35	71
22	117	192	104
35	195	36	71
143	120	71	117
124	52	169	170
88	46	155	65
148	108	59	194
65	126	40	95
23	139	153	10
86	136	162	42
80	135	122	39
118	186	54	24
72	21	61	13
15	8	190	59
86	107	60	197
122	21	172	179
140	40	140	37
117	40	41	0
45	132	55	177
70	191	91	185
121	111	152	166
78	9	145	15
67	31	63	35
32	138	119	106
118	180	163	17
1	13	143	128
154	116	82	86
85	167	83	129
48	158	139	161
83	175	165	27
